,real,target,preds,lower,upper
05-09-30,17800.0,17800.0,16914.5263671875,15897.225560694738,17931.82717368026
05-10-04,18200.0,18200.0,16887.0615234375,15854.115474915516,17920.007571959482
05-10-05,17600.0,17600.0,16800.267578125,15743.922533142839,17856.61262310716
05-10-06,17000.0,17000.0,16663.759765625,15594.051453772725,17733.468077477275
05-10-07,16750.0,16750.0,16540.5224609375,15464.152501643463,17616.89242023154
05-10-10,17300.0,17300.0,16334.90380859375,15269.85601214612,17399.95160504138
05-10-11,17550.0,17550.0,15984.99072265625,14846.547164599306,17123.434280713194
05-10-12,17600.0,17600.0,15652.26513671875,14414.409263877327,16890.121009560175
05-10-13,17450.0,17450.0,15507.89990234375,14205.258004451634,16810.541800235867
05-10-14,17750.0,17750.0,15643.42431640625,14351.53839798447,16935.31023482803
05-10-17,17800.0,17800.0,15869.48388671875,14662.373431995662,17076.594341441836
05-10-18,18450.0,18450.0,16001.0947265625,14820.769100082565,17181.420353042435
05-10-19,17800.0,17800.0,16070.4599609375,14876.37258087088,17264.54734100412
05-10-20,18300.0,18300.0,16192.6435546875,15008.964689825818,17376.322419549182
05-10-21,18050.0,18050.0,16363.859375,15231.13814782977,17496.58060217023
05-10-24,18700.0,18700.0,16334.55078125,15262.701390869755,17406.400171630245
05-10-25,18300.0,18300.0,16016.92919921875,14890.19655990678,17143.66183853072
05-10-26,17950.0,17950.0,15660.84326171875,14425.956143496485,16895.730379941015
05-10-27,17800.0,17800.0,15568.45166015625,14271.335652621003,16865.5676676915
05-10-28,17350.0,17350.0,15772.17431640625,14509.265451364352,17035.083181448146
05-10-31,17500.0,17500.0,16069.59033203125,14898.990501470198,17240.190162592302
05-11-01,17700.0,17700.0,16331.9091796875,15196.976876615568,17466.84148275943
05-11-02,18050.0,18050.0,16594.583984375,15482.798772558162,17706.369196191838
05-11-03,17900.0,17900.0,16885.7998046875,15835.719262773224,17935.880346601778
05-11-04,18450.0,18450.0,17084.314453125,16110.07509978854,18058.55380646146
05-11-07,18600.0,18600.0,17060.9912109375,16079.021732318375,18042.960689556625
05-11-08,18400.0,18400.0,16930.826171875,15895.222578706172,17966.429765043828
05-11-09,18700.0,18700.0,16930.0576171875,15867.070785800535,17993.044448574467
05-11-10,18800.0,18800.0,17115.8017578125,16097.283150090276,18134.320365534724
05-11-11,18950.0,18950.0,17365.3544921875,16413.102732479925,18317.606251895075
05-11-14,18500.0,18500.0,17514.2939453125,16588.519107782784,18440.068782842216
05-11-15,18700.0,18700.0,17509.8701171875,16583.282080567897,18436.458153807103
05-11-16,18600.0,18600.0,17429.697265625,16498.890274154306,18360.504257095694
05-11-17,18950.0,18950.0,17240.4814453125,16300.433981405253,18180.52890921975
05-11-18,20050.0,20050.0,16974.1044921875,15967.052413135805,17981.156571239197
05-11-21,20000.0,20000.0,16790.4140625,15715.08965208493,17865.73847291507
05-11-22,19850.0,19850.0,16784.1943359375,15701.03622047321,17867.35245140179
05-11-23,21500.0,21500.0,16967.2431640625,15925.415762855035,18009.070565269965
05-11-24,21200.0,21200.0,17159.2314453125,16185.74100184562,18132.72188877938
05-11-25,21000.0,21000.0,17233.5693359375,16256.838726225918,18210.299945649083
05-11-28,20400.0,20400.0,17227.4140625,16229.351287422378,18225.476837577622
05-11-29,20150.0,20150.0,17299.5732421875,16304.12563624308,18295.02084813192
05-11-30,20500.0,20500.0,17483.255859375,16538.088398865075,18428.423319884925
05-12-01,20600.0,20600.0,17715.7197265625,16828.298886384848,18603.140566740152
