,close
15-06-01,39700.0
15-06-02,38550.0
15-06-03,39150.0
15-06-04,39000.0
15-06-05,39650.0
15-06-08,39300.0
15-06-09,40100.0
15-06-10,39400.0
15-06-11,37750.0
15-06-12,38150.0
15-06-15,37750.0
15-06-16,38550.0
15-06-17,37650.0
15-06-18,36450.0
15-06-19,36500.0
15-06-22,37050.0
15-06-23,37000.0
15-06-24,37500.0
15-06-25,37700.0
15-06-26,37000.0
15-06-29,37050.0
15-06-30,37000.0
15-07-01,38100.0
15-07-02,38550.0
15-07-03,38700.0
15-07-06,37500.0
15-07-07,38000.0
15-07-08,39150.0
15-07-09,38800.0
15-07-10,38650.0
15-07-13,39150.0
15-07-14,39800.0
15-07-15,41200.0
15-07-16,40550.0
15-07-17,41150.0
15-07-20,40550.0
15-07-21,40550.0
15-07-22,40600.0
15-07-23,40600.0
15-07-24,40450.0
15-07-27,39500.0
15-07-28,41600.0
15-07-29,40600.0
15-07-30,41400.0
15-07-31,42650.0
15-08-03,40250.0
15-08-04,40200.0
15-08-05,41250.0
15-08-06,42100.0
15-08-07,41650.0
15-08-10,42150.0
15-08-11,41400.0
15-08-12,43600.0
15-08-13,43550.0
15-08-17,43600.0
15-08-18,44150.0
15-08-19,45150.0
15-08-20,45250.0
15-08-21,43250.0
15-08-24,43250.0
15-08-25,40850.0
15-08-26,43200.0
15-08-27,42150.0
15-08-28,41350.0
15-08-31,42550.0
15-09-01,42550.0
15-09-02,41100.0
15-09-03,41500.0
15-09-04,40600.0
15-09-07,41400.0
15-09-08,40100.0
15-09-09,41500.0
15-09-10,42200.0
15-09-11,40600.0
15-09-14,41450.0
15-09-15,41750.0
15-09-16,41750.0
15-09-17,41550.0
15-09-18,42750.0
15-09-21,42550.0
15-09-22,43900.0
15-09-23,42600.0
15-09-24,43000.0
15-09-25,42650.0
15-09-30,42300.0
15-10-01,43050.0
15-10-02,42650.0
15-10-05,42650.0
15-10-06,42500.0
15-10-07,42050.0
15-10-08,41400.0
15-10-12,42800.0
15-10-13,43200.0
15-10-14,42500.0
15-10-15,42550.0
15-10-16,42750.0
15-10-19,43350.0
15-10-20,42700.0
15-10-21,42750.0
15-10-22,43050.0
15-10-23,44100.0
15-10-26,43550.0
15-10-27,43750.0
15-10-28,43600.0
15-10-29,42500.0
15-10-30,42300.0
15-11-02,41550.0
15-11-03,43200.0
15-11-04,43050.0
15-11-05,42900.0
15-11-06,42550.0
15-11-09,42750.0
15-11-10,42050.0
15-11-11,41200.0
15-11-12,41200.0
15-11-13,40600.0
15-11-16,39500.0
15-11-17,39700.0
15-11-18,38750.0
15-11-19,39000.0
15-11-20,37500.0
15-11-23,37800.0
15-11-24,38000.0
15-11-25,37750.0
15-11-26,38100.0
15-11-27,38200.0
15-11-30,38200.0
15-12-01,40000.0
15-12-02,39800.0
15-12-03,39500.0
15-12-04,38300.0
15-12-07,39900.0
15-12-08,39850.0
15-12-09,39550.0
15-12-10,39450.0
15-12-11,38350.0
15-12-14,38900.0
15-12-15,38300.0
15-12-16,39050.0
15-12-17,40100.0
15-12-18,39450.0
15-12-21,39800.0
15-12-22,40600.0
15-12-23,40650.0
15-12-24,40400.0
15-12-28,39200.0
15-12-29,39350.0
15-12-30,38400.0
16-01-04,38300.0
16-01-05,38800.0
16-01-06,37850.0
16-01-07,36900.0
16-01-08,39600.0
16-01-11,38200.0
16-01-12,38650.0
16-01-13,39050.0
16-01-14,37900.0
16-01-15,37850.0
16-01-18,38000.0
16-01-19,37600.0
16-01-20,38300.0
16-01-21,37050.0
16-01-22,38600.0
16-01-25,39400.0
16-01-26,38800.0
16-01-27,39900.0
16-01-28,39850.0
16-01-29,41200.0
16-02-01,41600.0
16-02-02,41800.0
16-02-03,41200.0
16-02-04,41550.0
16-02-05,41200.0
16-02-11,41700.0
16-02-12,40600.0
16-02-15,40850.0
16-02-16,41100.0
16-02-17,41150.0
16-02-18,40350.0
16-02-19,41050.0
16-02-22,41050.0
16-02-23,41450.0
16-02-24,41900.0
16-02-25,41050.0
16-02-26,41250.0
16-02-29,41250.0
16-03-02,41850.0
16-03-03,41350.0
16-03-04,40600.0
16-03-07,40200.0
16-03-08,39950.0
16-03-09,41350.0
16-03-10,41550.0
16-03-11,41350.0
16-03-14,40600.0
16-03-15,41300.0
16-03-16,42150.0
16-03-17,42100.0
16-03-18,41750.0
16-03-21,42500.0
16-03-22,42500.0
16-03-23,42250.0
16-03-24,41750.0
16-03-25,42000.0
16-03-28,42100.0
16-03-29,42750.0
16-03-30,40950.0
16-03-31,40900.0
16-04-01,41100.0
16-04-04,40250.0
16-04-05,41250.0
16-04-06,41100.0
16-04-07,40500.0
16-04-08,41000.0
16-04-11,41100.0
16-04-12,40950.0
16-04-14,42150.0
16-04-15,43400.0
16-04-18,42850.0
16-04-19,42900.0
16-04-20,42300.0
16-04-21,42350.0
16-04-22,42150.0
16-04-25,42950.0
16-04-26,42750.0
16-04-27,43250.0
16-04-28,43150.0
16-04-29,42650.0
16-05-02,42750.0
16-05-03,42250.0
16-05-04,43050.0
16-05-09,44600.0
16-05-10,43300.0
16-05-11,42700.0
16-05-12,42500.0
16-05-13,42200.0
16-05-16,42600.0
16-05-17,42550.0
16-05-18,42400.0
16-05-19,42300.0
16-05-20,42450.0
16-05-23,41150.0
16-05-24,40550.0
16-05-25,41500.0
16-05-26,41600.0
16-05-27,41950.0
16-05-30,41950.0
16-05-31,42550.0
16-06-01,42000.0
16-06-02,42400.0
16-06-03,42800.0
16-06-07,43400.0
16-06-08,44050.0
16-06-09,43150.0
16-06-10,43200.0
16-06-13,42950.0
16-06-14,42200.0
16-06-15,42200.0
16-06-16,41850.0
16-06-17,42050.0
16-06-20,42500.0
16-06-21,42200.0
16-06-22,42250.0
16-06-23,42200.0
16-06-24,41900.0
16-06-27,42200.0
16-06-28,41000.0
16-06-29,41050.0
16-06-30,41700.0
16-07-01,41550.0
16-07-04,42200.0
16-07-05,41650.0
16-07-06,41000.0
16-07-07,40900.0
16-07-08,40600.0
16-07-11,41350.0
16-07-12,40750.0
16-07-13,41100.0
16-07-14,41450.0
16-07-15,41750.0
16-07-18,41400.0
16-07-19,41150.0
16-07-20,40750.0
16-07-21,40700.0
16-07-22,40350.0
16-07-25,40950.0
16-07-26,41400.0
16-07-27,41000.0
16-07-28,41350.0
16-07-29,41000.0
16-08-01,41300.0
16-08-02,40450.0
16-08-03,38950.0
16-08-04,40200.0
16-08-05,40700.0
16-08-08,41100.0
16-08-09,41500.0
16-08-10,42150.0
16-08-11,42100.0
16-08-12,42200.0
16-08-16,41750.0
16-08-17,41400.0
16-08-18,41250.0
16-08-19,39900.0
16-08-22,39450.0
16-08-23,39500.0
16-08-24,39600.0
16-08-25,39600.0
16-08-26,40100.0
16-08-29,40500.0
16-08-30,40200.0
16-08-31,39450.0
16-09-01,40200.0
16-09-02,40050.0
16-09-05,40500.0
16-09-06,40000.0
16-09-07,40000.0
16-09-08,39900.0
16-09-09,39300.0
16-09-12,39300.0
16-09-13,38450.0
16-09-19,38400.0
16-09-20,39000.0
16-09-21,39500.0
16-09-22,39600.0
16-09-23,39800.0
16-09-26,39900.0
16-09-27,40150.0
16-09-28,39700.0
16-09-29,39950.0
16-09-30,39300.0
16-10-04,39100.0
16-10-05,38850.0
16-10-06,38000.0
16-10-07,38000.0
16-10-10,38350.0
16-10-11,38250.0
16-10-12,38350.0
16-10-13,37900.0
16-10-14,37700.0
16-10-17,38400.0
16-10-18,38700.0
16-10-19,39050.0
16-10-20,39150.0
16-10-21,38750.0
16-10-24,39500.0
16-10-25,38850.0
16-10-26,38550.0
