,real,target,preds,lower,upper
12-04-03,24400.0,24400.0,25060.4501953125,23654.822243950417,26466.078146674583
12-04-04,24650.0,24650.0,25017.4970703125,23661.408581684318,26373.585558940682
12-04-05,24650.0,24650.0,25034.64453125,23721.255632430522,26348.033430069478
12-04-06,24550.0,24550.0,24963.9736328125,23624.390063369156,26303.557202255844
12-04-09,24100.0,24100.0,24800.9765625,23419.586314747292,26182.366810252708
12-04-10,24350.0,24350.0,24610.029296875,23239.82780935802,25980.23078439198
12-04-12,24100.0,24100.0,24539.4755859375,23232.93600152687,25846.01517034813
12-04-13,24450.0,24450.0,24457.6435546875,23176.475018082016,25738.812091292984
12-04-16,23700.0,23700.0,24308.4853515625,23007.13234919157,25609.83835393343
12-04-17,23800.0,23800.0,24142.4794921875,22846.996509190598,25437.962475184402
12-04-18,24250.0,24250.0,24056.2587890625,22819.092770497966,25293.424807627034
12-04-19,24250.0,24250.0,24067.5400390625,22888.775282290808,25246.304795834192
12-04-20,24750.0,24750.0,24013.4072265625,22825.361206370984,25201.453246754016
12-04-23,24750.0,24750.0,23916.1982421875,22697.677964116054,25134.718520258946
12-04-24,23900.0,23900.0,23845.2568359375,22640.271948037174,25050.241723837826
12-04-25,24200.0,24200.0,23867.208984375,22713.2482962906,25021.1696724594
12-04-26,24250.0,24250.0,23971.916015625,22849.774553024003,25094.057478225997
12-04-27,24200.0,24200.0,23987.3720703125,22829.624975125404,25145.119165499596
12-04-30,24250.0,24250.0,23918.345703125,22711.208691220552,25125.482715029448
12-05-02,24900.0,24900.0,23828.994140625,22622.27663979831,25035.71164145169
12-05-03,25100.0,25100.0,23793.4072265625,22632.414967031636,24954.399486093364
12-05-04,25900.0,25900.0,23847.8212890625,22728.564735854226,24967.077842270774
12-05-07,25000.0,25000.0,23819.8359375,22680.87515323899,24958.79672176101
12-05-08,25000.0,25000.0,23727.3642578125,22551.415432551385,24903.313083073615
12-05-09,25000.0,25000.0,23663.216796875,22499.10662347973,24827.32697027027
12-05-10,24200.0,24200.0,23676.642578125,22562.46920529771,24790.81595095229
12-05-11,24500.0,24500.0,23768.095703125,22686.571084467767,24849.620321782233
12-05-14,24900.0,24900.0,23837.0849609375,22721.467238308534,24952.702683566466
12-05-15,25850.0,25850.0,23827.5048828125,22646.664909728664,25008.344855896336
12-05-16,25600.0,25600.0,23785.751953125,22581.728447609665,24989.775458640335
12-05-17,24450.0,24450.0,23804.1748046875,22635.452131380203,24972.897477994797
12-05-18,25000.0,25000.0,23900.1728515625,22771.386915577288,25028.958787547712
12-05-21,24950.0,24950.0,23868.5537109375,22712.3041981917,25024.8032236833
12-05-22,24350.0,24350.0,23718.568359375,22516.316205335734,24920.820513414266
12-05-23,24550.0,24550.0,23585.6962890625,22400.46184681537,24770.93073130963
12-05-24,24350.0,24350.0,23559.1435546875,22443.23452111727,24675.05258825773
12-05-25,25000.0,25000.0,23440.501953125,22346.21852817428,24534.78537807572
12-05-29,25000.0,25000.0,23227.34375,22112.78558846731,24341.90191153269
12-05-30,24600.0,24600.0,23045.9755859375,21953.127678707504,24138.823493167496
12-05-31,25200.0,25200.0,23024.814453125,22005.879862277325,24043.749043972675
12-06-01,25400.0,25400.0,23177.9375,22216.22256561282,24139.65243438718
12-06-04,25450.0,25450.0,23281.6611328125,22289.386341338864,24273.935924286136
12-06-05,25600.0,25600.0,23258.4150390625,22195.07835380039,24321.75172432461
12-06-07,25500.0,25500.0,23164.7587890625,22079.631875336396,24249.885702788604
12-06-08,24750.0,24750.0,23119.6591796875,22077.081331401718,24162.237027973282
12-06-11,24550.0,24550.0,23178.935546875,22187.570016520414,24170.301077229586
12-06-12,24600.0,24600.0,23164.6865234375,22160.632451867164,24168.740595007836
12-06-13,24500.0,24500.0,23207.2646484375,22165.19692614657,24249.33237072843
12-06-14,24750.0,24750.0,23389.412109375,22347.43971400939,24431.38450474061
12-06-15,24000.0,24000.0,23695.93359375,22666.34001049531,24725.52717700469
12-06-18,24200.0,24200.0,23876.8125,22790.85952415683,24962.76547584317
12-06-19,24350.0,24350.0,23899.9375,22732.906729955266,25066.968270044734
12-06-20,24400.0,24400.0,23840.609375,22651.623062019553,25029.595687980447
12-06-21,24600.0,24600.0,23793.982421875,22644.98003275186,24942.98481099814
12-06-22,24050.0,24050.0,23793.646484375,22688.35134892467,24898.94161982533
12-06-25,24250.0,24250.0,23712.2177734375,22597.59678780721,24826.83875906779
12-06-26,24000.0,24000.0,23600.1943359375,22465.954283767336,24734.434388107664
12-06-27,24650.0,24650.0,23550.0546875,22440.757337327967,24659.352037672033
12-06-28,24150.0,24150.0,23582.6904296875,22522.689580465405,24642.691278909595
12-06-29,24350.0,24350.0,23672.6826171875,22634.513118977942,24710.852115397058
12-07-02,24300.0,24300.0,23662.5556640625,22588.631384119453,24736.479944005547
12-07-03,24700.0,24700.0,23527.9169921875,22407.36659646301,24648.46738791199
12-07-04,24550.0,24550.0,23349.328125,22234.380466933475,24464.275783066525
12-07-05,24450.0,24450.0,23255.6181640625,22202.558156358646,24308.678171766354
12-07-06,24450.0,24450.0,23294.9462890625,22303.17271666495,24286.71986146005
12-07-09,24700.0,24700.0,23347.5595703125,22355.59668661955,24339.52245400545
12-07-10,24600.0,24600.0,23374.16015625,22343.987757920382,24404.332554579618
12-07-11,24450.0,24450.0,23424.3037109375,22380.473064565293,24468.134357309707
12-07-12,24250.0,24250.0,23615.013671875,22583.14504042746,24646.88230332254
12-07-13,24350.0,24350.0,23739.3154296875,22670.20998269619,24808.42087667881
12-07-16,24650.0,24650.0,23776.4765625,22643.792051577268,24909.161073422732
12-07-17,24300.0,24300.0,23834.1572265625,22693.370761252645,24974.943691872355
12-07-18,24100.0,24100.0,23913.6142578125,22802.8180537647,25024.4104618603
12-07-19,23900.0,23900.0,23841.02734375,22714.813032803202,24967.241654696798
12-07-20,23200.0,23200.0,23647.119140625,22489.247417731924,24804.990863518076
12-07-23,22850.0,22850.0,23445.4306640625,22310.790092206644,24580.071235918356
12-07-24,22850.0,22850.0,23351.31640625,22292.428444226654,24410.204368273346
12-07-25,23150.0,23150.0,23370.1748046875,22372.89934081884,24367.45026855616
12-07-26,22550.0,22550.0,23294.49609375,22281.861469360625,24307.130718139375
12-07-27,22950.0,22950.0,23136.6083984375,22085.45696416269,24187.75983271231
12-07-30,22700.0,22700.0,22997.4052734375,21961.496644993353,24033.313901881647
12-07-31,23300.0,23300.0,22980.09375,22008.824496762347,23951.363003237653
12-08-01,22950.0,22950.0,23082.0576171875,22157.8898876592,24006.2253467158
12-08-02,22850.0,22850.0,23073.7001953125,22118.593074683573,24028.807315941427
12-08-03,22600.0,22600.0,22936.025390625,21926.82685522532,23945.22392602468
12-08-06,22750.0,22750.0,22787.404296875,21785.299992309076,23789.508601440924
12-08-07,22400.0,22400.0,22761.9306640625,21826.424123260007,23697.437204864993
12-08-08,22750.0,22750.0,22868.7587890625,21987.532054257383,23749.985523867617
12-08-09,23600.0,23600.0,22955.287109375,22044.832867803107,23865.741350946893
12-08-10,23250.0,23250.0,23010.025390625,22028.863645806952,23991.187135443048
12-08-13,22800.0,22800.0,23091.875,22079.046749098565,24104.703250901435
12-08-14,23300.0,23300.0,23252.8583984375,22252.229040481412,24253.487756393588
12-08-16,23550.0,23550.0,23476.568359375,22479.127738152114,24474.008980597886
12-08-17,23800.0,23800.0,23557.28515625,22503.606038275462,24610.964274224538
12-08-20,24000.0,24000.0,23503.9990234375,22385.76226778494,24622.23577909006
12-08-21,23750.0,23750.0,23416.80078125,22294.460148775193,24539.141413724807
12-08-22,23650.0,23650.0,23404.4921875,22333.577634972156,24475.406740027844
12-08-23,23700.0,23700.0,23491.4375,22464.98111573089,24517.89388426911
12-08-24,23250.0,23250.0,23484.85546875,22434.512780162375,24535.198157337625
12-08-27,23900.0,23900.0,23375.6953125,22278.206831762443,24473.183793237557
12-08-28,23450.0,23450.0,23236.1611328125,22140.219159310025,24332.103106314975
12-08-29,23600.0,23600.0,23173.5,22132.217608300467,24214.782391699533
12-08-30,23000.0,23000.0,23175.4267578125,22181.223204751852,24169.630310873148
12-08-31,23200.0,23200.0,23004.1953125,21989.169645915776,24019.220979084224
12-09-03,23150.0,23150.0,22671.3740234375,21622.990374827463,23719.757672047537
12-09-04,23050.0,23050.0,22335.1337890625,21321.89833326159,23348.36924486341
12-09-05,22600.0,22600.0,22153.8369140625,21239.261467516902,23068.412360608098
12-09-06,22750.0,22750.0,22181.7001953125,21356.802649373978,23006.597741251022
12-09-07,23050.0,23050.0,22159.1796875,21337.64140299837,22980.71797200163
12-09-10,23150.0,23150.0,22046.71875,21176.98355555124,22916.45394444876
12-09-11,23150.0,23150.0,22012.70703125,21135.217585243918,22890.196477256082
12-09-12,23250.0,23250.0,22158.439453125,21320.423132612483,22996.455773637517
12-09-13,23000.0,23000.0,22439.7138671875,21615.420592159364,23264.007142215636
12-09-14,23150.0,23150.0,22571.5419921875,21676.687769055206,23466.396215319794
12-09-17,23150.0,23150.0,22499.7822265625,21512.338972323487,23487.225480801513
12-09-18,23450.0,23450.0,22361.7412109375,21354.548329424244,23368.934092450756
12-09-19,23650.0,23650.0,22358.896484375,21413.479631676204,23304.313337073796
